condition,seed,fdp,power,n_selected,threshold,w_signal_mean,w_signal_min,w_signal_max,w_null_mean,w_null_max,num_w_pos,num_w_neg,train_time_seconds
p300_s90_q10_lam001,600,0.0425531914893617,1.0,94,0.05082893371582031,0.22397511800130207,0.2172330617904663,0.23126673698425293,0.0009392113912673224,0.08704519271850586,195,105,41.52784252166748
p300_s90_q10_lam001,700,0.08163265306122448,1.0,98,0.05597597360610962,0.22338916460673014,0.214552640914917,0.23113930225372314,-0.0008637987432025728,0.0742950439453125,191,109,50.08531999588013
p300_s90_q10_lam001,800,0.05263157894736842,1.0,95,0.05253922939300537,0.2241518629921807,0.21614551544189453,0.23187053203582764,0.0002508401870727539,0.07703554630279541,200,100,50.653873920440674
p300_s90_q10_lam001,900,0.11764705882352941,1.0,102,0.049376070499420166,0.22388631502787273,0.2140275239944458,0.2314387559890747,0.0010703461510794504,0.08477449417114258,197,103,50.97316098213196
p500_s150_q10_lam001,0,0.10714285714285714,1.0,168,0.06461751461029053,0.22629427989323933,0.20524191856384277,0.24151372909545898,0.0009471390928540911,0.10420870780944824,322,178,59.68824887275696
p500_s150_q10_lam001,100,0.07407407407407407,1.0,162,0.06848645210266113,0.22623326698939006,0.1871623992919922,0.24000704288482666,0.0017515192713056292,0.09529709815979004,343,157,60.18741726875305
p500_s150_q10_lam001,200,0.0625,1.0,160,0.06997168064117432,0.22593379338582356,0.17330217361450195,0.23974990844726562,-0.004413986206054687,0.12047481536865234,316,184,63.14047932624817
p500_s150_q10_lam001,300,0.09090909090909091,1.0,165,0.07163774967193604,0.22688981850941975,0.18653345108032227,0.24016261100769043,0.00020552686282566615,0.10411036014556885,314,186,65.20794558525085
p500_s150_q10_lam001,400,0.1712707182320442,1.0,181,0.057952821254730225,0.22673787752787272,0.20624685287475586,0.23973000049591064,0.002670426368713379,0.11095297336578369,332,168,50.85539221763611
p500_s150_q10_lam001,500,0.044585987261146494,1.0,157,0.07680010795593262,0.22659506320953368,0.19776439666748047,0.23854601383209229,-0.0016840486867087227,0.10908007621765137,321,179,48.32437467575073
p500_s150_q10_lam001,600,0.07407407407407407,1.0,162,0.06849408149719238,0.22664654572804768,0.20372724533081055,0.24018847942352295,0.0007338777610233852,0.12347769737243652,334,166,49.22543954849243
p500_s150_q10_lam001,700,0.12280701754385964,1.0,171,0.06679368019104004,0.2262191621462504,0.20639383792877197,0.23892855644226074,0.0010061541625431606,0.11513233184814453,332,168,47.98913240432739
p500_s150_q10_lam001,800,0.08536585365853659,1.0,164,0.06932187080383301,0.22663335084915162,0.19530129432678223,0.2383362054824829,-0.0007493765013558524,0.10165262222290039,321,179,46.461249351501465
p500_s150_q10_lam001,900,0.06832298136645963,1.0,161,0.0687628984451294,0.22518505334854125,0.18719542026519775,0.24021732807159424,0.0009429817540305001,0.09883558750152588,337,163,46.764639377593994
